Date,Open,High,Low,Close,Adj Close,Volume
01/07/2002,1.265,1.342143,0.985714,1.09,0.977112,2029603800
01/08/2002,1.079286,1.160714,0.997857,1.053571,0.944457,1287921600
01/09/2002,1.035,1.085,1.003571,1.035714,0.928449,1322959400
01/10/2002,1.042143,1.174286,0.954286,1.147857,1.028977,1652858200
01/11/2002,1.138571,1.241429,1.072143,1.107143,0.99248,1132930400
01/12/2002,1.135714,1.15,0.984286,1.023571,0.917564,1132609800
01/01/2003,1.025714,1.098571,0.968571,1.025714,0.919484,1511458200
01/02/2003,1.029286,1.092857,0.985714,1.072143,0.961105,1028575800
01/03/2003,1.072143,1.082857,1.002857,1.01,0.905398,1007101200
01/04/2003,1.014286,1.067857,0.908571,1.015714,0.91052,1943835600
01/05/2003,1.017857,1.357857,1,1.282143,1.149356,2702886200
01/06/2003,1.292857,1.406429,1.187857,1.361429,1.22043,1528333800
01/07/2003,1.347857,1.540714,1.322143,1.505714,1.349772,1304567600
01/08/2003,1.5,1.632143,1.387143,1.615,1.44774,1076891200
01/09/2003,1.618571,1.665714,1.439286,1.48,1.326722,1336871200
01/10/2003,1.479286,1.786429,1.442143,1.635,1.465669,1760047800
01/11/2003,1.630714,1.664286,1.417857,1.493571,1.338887,1243526200
01/12/2003,1.502857,1.564286,1.375,1.526429,1.368341,1363468400
01/01/2004,1.539286,1.774286,1.512857,1.611429,1.444538,1981950600
01/02/2004,1.604286,1.721429,1.55,1.708571,1.531621,1230507600
01/03/2004,1.721429,2.01,1.685714,1.931429,1.731397,2906528800
01/04/2004,1.920714,2.112857,1.820714,1.841429,1.650718,2232543600
01/05/2004,1.857143,2.055714,1.821429,2.004286,1.796709,1326068800
01/06/2004,1.985,2.442143,1.972143,2.324286,2.083568,2056808600
01/07/2004,2.292857,2.402143,2.052857,2.31,2.070761,2424144800
01/08/2004,2.227143,2.512857,2.121428,2.463571,2.208428,2002841400
01/09/2004,2.45,2.805,2.442143,2.767857,2.481199,1918376600
01/10/2004,2.794286,3.8,2.689286,3.742857,3.355223,4023591600
01/11/2004,3.75,4.969285,3.717143,4.789286,4.293277,4359901000
01/12/2004,4.842143,4.853571,4.4,4.6,4.123594,3987153800
01/01/2005,4.627143,5.563571,4.471428,5.492857,4.923981,6427061200
01/02/2005,5.503572,6.491428,5.47,6.408571,5.744858,5362236600
01/03/2005,6.427143,6.444286,5.547143,5.952857,5.33634,3668980000
01/04/2005,6.012857,6.35,4.857143,5.151429,4.617913,4843879600
01/05/2005,5.172857,5.848571,4.73,5.68,5.091742,3214573600
01/06/2005,5.698571,5.822857,5.074286,5.258572,4.713959,2831798900
01/07/2005,5.261428,6.34,5.184286,6.092857,5.461842,2523561600
01/08/2005,6.081429,6.904286,6.002857,6.698571,6.004824,2350201700
01/09/2005,6.714286,7.794286,6.584286,7.658571,6.865399,3086942600
01/10/2005,7.737143,8.282857,6.838572,8.227143,7.375085,4660861800
01/11/2005,8.177143,10.152857,8.124286,9.688571,8.685158,3364106900
01/12/2005,9.85,10.78,9.83,10.27,9.206375,3266041100
01/01/2006,10.34,12.342857,10.124286,10.787143,9.669956,5469592800
01/02/2006,10.707143,10.922857,8.985714,9.784286,8.770962,4690174300
01/03/2006,9.834286,9.998571,8.238571,8.96,8.032043,5798158100
01/04/2006,9.095715,10.292857,8.721429,10.055715,9.014277,5029820600
01/05/2006,10.11,10.542857,8.384286,8.538571,7.654261,3902194800
